id,name,description,image,language,logic,customer_id,group,enabled,created,sort,description_won,versions,row,needs,is_personalized_learning
45,Rápido como un rayo,Sé „rápido como un rayo” y completa 3 temas en el plazo de una semana.,lightningfast.svg,sr,"{""topics_per_week"": 3}",,11,True,2020-07-09 13:02:50.457966+00,4,"Completaste 3 temas en una semana. ¡Nada mal! Estás progresando muy bien, ¡sigue así!","{""ids"": [4]}",4,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": 3, ""min_module_count"": null, ""min_category_count"": null}",False
46,Cuatro del mismo tipo,"Completa al menos 4 módulos cada día, 4 días seguidos y consigue la insignia „Cuatro del mismo tipo”.",allfours.svg,sr,"{""days_in_row"": 4, ""modules_per_day"": 4, ""or_completed_all_modules"": true}",,12,True,2020-07-09 13:02:50.457966+00,5,Completaste al menos 4 módulos cada día durante 4 días seguidos. ¡Qué racha! ¿Por qué parar ahora?,"{""ids"": [3, 4]}",4,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": 4, ""min_category_count"": null}",True
47,Regreso,¡Te extrañamos! – Inicia sesión de nuevo después de al menos 7 días y consigue „Regreso”.,return.svg,sr,"{""login_after_days"": 90}",,13,True,2020-07-09 13:02:50.457966+00,3,¡Ya nos hacías falta! – Has vuelto a iniciar sesión después de al menos 7 días. Continúa justo donde lo dejaste a través del mosaico $RPL QUICKSTART Qickstart-Tile$.,"{""ids"": [3, 4]}",5,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
48,Profesional del phishing,"Conviértete en un ""profesional del phishing"" e identifica correctamente 5 correos de phishing.",,sr,,,14,True,2020-07-09 13:02:50.457966+00,1,Has identificado 5 correos de phishing. ¡Tu ojo agudo para detectar mensajes peligrosos es realmente impresionante!,"{""ids"": [3, 4]}",4,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
49,Inteligencia colectiva,"Comparte tu opinión y contribuye a la ""inteligencia colectiva"" – danos tu opinión sobre la formación.",intelligence.svg,sr,"{""stages"": [{""id"": 0}]}",,15,True,2020-07-09 13:02:50.457966+00,1,¡Gracias por tu opinión! Nos ayudas a mejorar constantemente nuestra plataforma de aprendizaje.,"{""ids"": [4]}",1,"{""stages"": [0], ""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",False
50,Imparable,"Si completas todos los módulos avanzados, eres realmente ""imparable"" y mereces la insignia.",unstoppable.svg,sr,"{""stages"": [{""id"": 1}]}",,16,True,2020-07-09 13:02:50.457966+00,2,Has completado todos los módulos avanzados. Tu conocimiento ahora abarca temas más detallados de ciberseguridad. ¡Felicitaciones!,"{""ids"": [4]}",1,"{""stages"": [1], ""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",False
51,Información privilegiada,Completa todos los módulos adicionales y obtén „información privilegiada”.,insiderknowledge.svg,sr,"{""stages"": [{""id"": 2}]}",,17,True,2020-07-09 13:02:50.457966+00,3,Has completado todos los módulos adicionales. ¡Bravo! Ahora realmente conoces los entresijos de la ciberseguridad.,"{""ids"": [4]}",1,"{""stages"": [2], ""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",False
52,Sherlock,Activa tu „Sherlock” interior y resuelve con éxito múltiples tareas seguidas.,sherlock.svg,sr,"{""hint_viewed"": true}",,18,True,2020-07-09 13:02:50.457966+00,5,Tus habilidades detectivescas han dado sus frutos: has demostrado ser un verdadero Sherlock en la identificación de riesgos.,"{""ids"": [3, 4]}",3,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
54,Para la eternidad,Asegura tu conocimiento „para la eternidad” y completa todos los módulos expertos.,fortheeternity.svg,sr,"{""certificate_printed"": true}",,20,True,2020-07-09 13:02:50.457966+00,6,Has completado todos los módulos expertos. ¡Bravo! Ahora eres un verdadero experto en ciberseguridad.,"{""ids"": [3, 4]}",3,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",False
55,Libertad de expresión,Completa la categoría „Libertad de expresión” y aprende más sobre los derechos y límites de la expresión.,freedomofexpression.svg,sr,"{""feedback_given"": true}",,21,True,2020-07-09 13:02:50.457966+00,4,Has completado la categoría „Libertad de expresión”. Tu comprensión de la comunicación responsable es ahora aún más sólida.,"{""ids"": [3, 4]}",3,"{""topics"": null, ""modules"": null, ""campaign"": [""feedback""], ""categories"": null, ""components"": [""feedback.enabled""], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",False
56,Rendimiento excepcional,Demuestra tu „rendimiento excepcional” y completa 20 módulos.,powerful.svg,sr,"{""modules"": {""count"": 20}}",,22,True,2020-07-09 13:02:50.457966+00,6,Completaste 20 módulos. ¡Muy impresionante! Sigue así.,"{""ids"": [3, 4]}",4,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": 20, ""min_category_count"": null}",True
57,Sexto sentido,"Desarrolla un ""sexto sentido"" para las amenazas y toma varias decisiones correctas seguidas.",sixthsense.svg,sr,"{""topics"": {""count"": 6}}",,23,True,2020-07-09 13:02:50.457966+00,7,"Tu ""sexto sentido"" para los riesgos de seguridad está afinado: respondiste correctamente varias veces seguidas.","{""ids"": [4]}",4,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": 6, ""min_module_count"": null, ""min_category_count"": null}",False
58,La variedad es clave,La variedad es clave: combina diferentes tipos de módulos y temas para obtener un conocimiento amplio.,variety.svg,sr,"{""topics"": {""count"": 20}}",,24,True,2020-07-09 13:02:50.457966+00,8,Combinaste diferentes temas y formatos de aprendizaje. ¡Excelente! La variedad hace que tu conocimiento sea más sólido.,"{""ids"": [4]}",4,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": 20, ""min_module_count"": null, ""min_category_count"": null}",True
59,Gran comienzo,Descarga el certificado y da un „Gran comienzo” hacia un futuro más seguro.,greatstart.svg,sr,"{""topics"": {""count"": 1}}",,25,True,2020-07-09 13:02:50.457966+00,9,Has descargado el certificado. ¡Quizás pronto te abra nuevas puertas en tu carrera! Puedes encontrar tu certificado en la tarjeta $RPL CERTIFICATE Certificate$.,"{""ids"": [4]}",4,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": 1, ""min_module_count"": null, ""min_category_count"": null}",False
60,Omnisciente,Completa todas las categorías y conviértete en un maestro cibernético „Omnisciente”.,allknowing.svg,sr,"{""completed_all_modules"": true}",,26,True,2020-07-09 13:02:50.457966+00,4,¡Felicidades! Has completado todas las categorías. Descarga tu merecido certificado en la tarjeta $RPL CERTIFICATE Certificate$.,"{""ids"": [3, 4]}",1,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
61,No hay dos sin tres,"No hay dos sin tres, especialmente cuando completas 3 módulos expertos.",allgoodthingsarethree.svg,sr,"{""stages"": [{""id"": 2, ""count"": 3}]}",,27,True,2020-07-09 13:02:50.457966+00,10,Completaste 3 módulos expertos. ¡Excelente! Vas por buen camino para convertirte en un verdadero experto en ciberseguridad.,"{""ids"": [4]}",4,"{""stages"": [2], ""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": 3, ""min_category_count"": null}",False
62,Pausa corta,Toma un „descanso breve”: vuelve a la plataforma después de varios días de ausencia.,shortpause.svg,sr,"{""login_after_days"": 7}",,28,True,2020-07-09 13:02:50.457966+00,1,¡Bienvenido de vuelta! Tomaste un breve descanso y estás de regreso con nosotros: así es como se construye un hábito de aprendizaje sostenible.,"{""ids"": [3, 4]}",5,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
63,Primeros pasos,Completa el recorrido de la plataforma y gana la insignia „Primeros pasos”.,tour.svg,sr,"{""welcome_done"": true}",,29,True,2020-07-27 15:04:23.98553+00,1,Completaste el recorrido de la plataforma. ¡Ahora podemos empezar!,"{""ids"": [3, 4]}",3,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",False
64,Descanso,¿Has tomado un descanso largo? Regresa a la plataforma y continúa donde lo dejaste.,vacation.svg,sr,"{""login_after_days"": 30}",,32,True,2020-09-23 15:39:11.782285+00,1,¡Bienvenido de vuelta de tus vacaciones! Continúa tu aprendizaje donde lo dejaste y mantente seguro y relajado.,"{""ids"": [3, 4]}",5,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
65,Súper seguro,Aprende cómo crear contraseñas fuertes y haz que tus cuentas sean „súper seguras”.,password.svg,sr,"{""modules"": [{""id"": 15}]}",,33,True,2020-09-23 15:39:11.782285+00,1,Has dominado las reglas para contraseñas fuertes. ¡Es un buen momento para cambiar todas las contraseñas inseguras restantes!,"{""ids"": [3, 4]}",3,"{""topics"": null, ""modules"": [3], ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
66,Espontaneidad,Usa la tarjeta $RPL QUICKSTART Qickstart-Tile$ y muestra un poco de „espontaneidad” en tu aprendizaje.,faststart.svg,sr,"{""quickstart_used"": true}",,34,True,2020-09-23 15:39:11.782285+00,1,Utilizaste la tarjeta $RPL QUICKSTART Qickstart-Tile$ para continuar rápidamente con el aprendizaje. ¡Excelente reflejo espontáneo!,"{""ids"": [3, 4]}",3,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",False
67,Inteligencia colectiva,Comparte tu opinión y contribuye a la „inteligencia colectiva”: danos tu opinión sobre la formación.,intelligence.svg,sr,"{""stages"": [{""id"": 0}]}",,30,True,2020-07-09 13:02:50.457966+00,1,¡Gracias por tus comentarios! Nos ayudas a mejorar constantemente nuestra plataforma de aprendizaje.,"{""ids"": [3]}",1,"{""stages"": [0], ""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",False
68,Información privilegiada,Completa todos los módulos adicionales y obtén „información privilegiada”.,insiderknowledge.svg,sr,"{""stages"": [{""id"": 1}]}",,31,True,2020-07-09 13:02:50.457966+00,3,Completaste todos los módulos adicionales. ¡Bravo! Ahora realmente conoces los fundamentos de la ciberseguridad.,"{""ids"": [3]}",1,"{""stages"": [1], ""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",False
816,Formación acelerada en ciberseguridad,Completa la formación acelerada en ciberseguridad y adquiere rápidamente las habilidades clave.,compact.svg,sr,"{""categories"": [{""id"": 17}]}",,35,True,2021-07-13 10:55:33.194913+00,0,Has completado la formación acelerada en ciberseguridad. ¡Excelente trabajo!,"{""ids"": [3, 4]}",2,"{""topics"": null, ""modules"": null, ""categories"": [17], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
1308,Cumplimiento normativo,Completa la categoría „Cumplimiento normativo” y conoce las normas y regulaciones clave.,compliance.svg,sr,"{""categories"": [{""id"": 20}]}",,38,True,2022-02-21 07:42:26.892706+00,9,Has completado la categoría „Cumplimiento normativo”. ¡Excelente trabajo! ¡Ahora puedes pasar a la siguiente categoría!,"{""ids"": [3, 4]}",2,"{""topics"": null, ""modules"": null, ""categories"": [20], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
1309,Ley general alemana de igualdad de trato,Completa la categoría „Ley general alemana de igualdad de trato” y aprende a reconocer y prevenir la discriminación.,agg.svg,sr,"{""categories"": [{""id"": 19}]}",,37,True,2022-02-21 07:42:26.892706+00,8,Završili ste kategoriju „Nemački opšti zakon o jednakom postupanju”. Sjajno! Možete da nastavite sa sledećom kategorijom!,"{""ids"": [3, 4]}",2,"{""topics"": null, ""modules"": null, ""categories"": [19], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
1310,Bezbednost na radu,Završite kategoriju „Bezbednost na radu” i naučite kako da ostanete bezbedni na radnom mestu.,worksafety.svg,sr,"{""categories"": [{""id"": 18}]}",,36,True,2022-02-21 07:42:26.892706+00,7,Završili ste kategoriju „Bezbednost na radu”. Sjajno! Sada možete da pređete na sledeću kategoriju!,"{""ids"": [3, 4]}",2,"{""topics"": null, ""modules"": null, ""categories"": [18], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
1414,Opasnosti socijalnog inženjeringa,Završite kategoriju „Opasnosti socijalnog inženjeringa” i naoružajte se protiv sofisticiranih napada.,socialengineering.svg,sr,"{""categories"": [{""id"": 52}]}",,39,True,2023-06-05 12:32:08.411043+00,10,Završili ste kategoriju „Opasnosti socijalnog inženjeringa”. Sada niko ne može lako da dođe do vaših podataka!,,2,,
1454,,,,,,,40,,2023-07-05 11:54:23.193221+00,11,,,2,,
1828,,,,,,,41,,2023-11-13 08:17:38.826361+00,12,,,2,,
2231,,,,,,,42,,2024-01-23 12:00:51.329926+00,13,,,2,,
3132,,,,,,,43,,2024-11-05 09:33:54.202784+00,14,,,2,,
